AUC,PR_AUC,Accuracy,Precision_1,Recall_1,F1_1,feature_set,model
0.9050975039808095,0.57583811848378,0.8410585895670797,0.33166904422253923,0.8201058201058201,0.4723209751142712,baseline,Logistic
0.9050975039808095,0.57583811848378,0.8410585895670797,0.33166904422253923,0.8201058201058201,0.4723209751142712,baseline,Ridge(Logistic L2)
0.8915421832856226,0.5360990789879687,0.9281015756463209,0.6789667896678967,0.32451499118165783,0.43914081145584727,baseline,SVM(RBF)
0.6397255235613695,0.17732675521610058,0.8893223191066238,0.35495829471733087,0.3377425044091711,0.34613646633529144,baseline,DecisionTree
0.9185520858259553,0.6089417826798089,0.9268012849931161,0.852589641434263,0.18871252204585537,0.30902527075812275,baseline,RandomForest
0.8978608504013306,0.566271150428094,0.9309316200091785,0.727810650887574,0.3253968253968254,0.44972577696526506,baseline,AdaBoost
0.9167387865252186,0.6393452983118222,0.9378155117026159,0.783068783068783,0.3915343915343915,0.5220458553791887,baseline,GradientBoosting
0.905592335575585,0.5784977378024218,0.8397582989138749,0.32930728241563056,0.8174603174603174,0.4694859458090656,corr_filter,Logistic
0.905592335575585,0.5784977378024218,0.8397582989138749,0.32930728241563056,0.8174603174603174,0.4694859458090656,corr_filter,Ridge(Logistic L2)
0.8916650787742356,0.5365523397722956,0.9280250879608383,0.676416819012797,0.3262786596119929,0.4402141582391434,corr_filter,SVM(RBF)
0.6459599585227727,0.18449023992851435,0.8912345112436898,0.36666666666666664,0.3492063492063492,0.35772357723577236,corr_filter,DecisionTree
0.9195387209415685,0.6088087108582584,0.9263423588802203,0.8406374501992032,0.18606701940035272,0.3046931407942238,corr_filter,RandomForest
0.8972955976236265,0.5646035863562131,0.9303962062108001,0.724,0.31922398589065254,0.4430844553243574,corr_filter,AdaBoost
0.916076561526031,0.6357601516211646,0.9362092703074805,0.7669039145907474,0.3800705467372134,0.5082547169811321,corr_filter,GradientBoosting
